InstallSource,Browser,2013-12-23,2013-12-22,2013-12-21,2013-12-20,2013-12-19,2013-12-18,2013-12-17,2013-12-16,2013-12-15,2013-12-14,2013-12-13,2013-12-12,2013-12-11,2013-12-10,2013-12-09,2013-12-08,2013-12-07,2013-12-06,2013-12-05,2013-12-04,2013-12-03,2013-12-02,2013-12-01,2013-11-30,2013-11-29,2013-11-28,2013-11-27,2013-11-26,2013-11-25,2013-11-24
t4pcsuAR,IE,276,250,247,194,220,171,119,153,78,106,111,167,233,339,230,171,169,149,148,155,168,176,167,172,142,90,87,101,120,150
t4pcsuAU,IE,21,18,23,12,31,7,3,1,,,,,,,,,,,,,,,,,,,,,,
t4pcsuBE,IE,18,69,45,42,16,8,8,2,,,,,,,,,,,,,,,,,,,,,,
t4pcsuBR,IE,17,15,11,20,27,35,39,14,7,13,15,23,37,48,20,10,9,8,6,11,19,12,12,16,21,15,20,55,50,61
t4pcsuCA,IE,677,424,413,282,220,278,97,16,,,,,,,,,,,,,,,,,,,,,,
t4pcsuCL,IE,263,221,274,312,341,363,170,98,46,57,228,173,25,18,15,19,27,28,17,23,21,29,33,38,28,31,9,,,
t4pcsuCO,IE,501,484,579,695,734,579,469,429,324,427,586,358,211,291,398,348,431,362,315,322,369,359,294,321,323,273,249,278,249,243
t4pcsuDK,IE,8,12,9,7,8,6,8,2,,,,,,,,,,,,,,,,,,,,,,
t4pcsuES,IE,306,422,339,206,209,188,275,262,270,198,190,201,71,118,85,72,60,46,35,33,54,63,50,52,45,52,55,84,107,138
t4pcsuFI,IE,,,,1,1,3,4,1,,,,,,,,,,,,,,,,,,,,,,
t4pcsuFR,IE,1658,1945,1647,1354,1066,417,287,169,180,124,129,144,138,128,173,176,230,252,414,431,466,484,583,469,337,345,255,340,577,694
t4pcsuIN,IE,162,106,168,146,146,127,113,129,83,167,261,85,98,86,114,93,155,130,126,138,152,141,109,154,134,148,162,157,163,138
t4pcsuIT,IE,165,131,136,156,144,163,166,26,,,,,,,,,,,,,,,,,,,,,,
t4pcsuJP,IE,780,918,825,778,595,522,441,131,125,110,102,112,103,144,405,428,541,457,527,494,493,460,597,568,389,354,523,512,512,674
t4pcsuMX,IE,251,253,256,316,417,573,566,552,377,438,524,578,738,880,355,241,219,180,205,260,331,289,243,248,221,215,227,254,265,267
t4pcsuMY,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12
t4pcsuNL,IE,86,90,92,41,8,4,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuNO,IE,1,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuNZ,IE,3,8,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuofcourse,IE,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuPL,IE,96,96,74,52,29,35,25,59,71,54,29,25,66,97,202,192,277,92,103,116,70,61,43,43,47,24,44,45,41,54
t4pcsuPT,IE,456,471,482,436,445,447,559,338,291,309,295,182,267,428,247,215,165,198,197,184,211,216,240,222,187,149,175,176,222,215
t4pcsuSE,IE,25,41,32,37,13,15,14,3,,,,,,,,,,,,,,,,,,,,,,
t4pcsuTR,IE,276,305,293,256,226,282,244,89,,,,,,,,,,,,,,,,,,,,,,
t4pcsuZA,IE,5,3,4,11,6,2,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuAR,Other,20,23,24,13,21,5,8,15,6,11,7,21,18,32,16,15,21,16,12,18,8,8,15,12,7,6,3,8,11,6
t4pcsuAU,Other,1,2,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuBE,Other,1,14,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuBR,Other,6,7,6,11,10,15,12,10,5,9,4,11,21,35,16,3,6,1,3,1,7,10,2,6,9,3,6,8,8,14
t4pcsuCA,Other,37,22,31,15,16,14,13,1,,,,,,,,,,,,,,,,,,,,,,
t4pcsuCL,Other,40,29,31,39,55,43,33,14,6,18,34,34,7,3,3,1,4,1,,3,4,5,5,1,2,4,2,,,
t4pcsuCO,Other,51,42,44,81,69,48,35,34,25,29,56,30,14,23,29,26,36,25,22,21,29,25,31,28,24,17,16,13,14,7
t4pcsuDK,Other,1,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuES,Other,49,57,43,39,33,39,30,29,27,29,23,20,14,26,15,8,5,5,6,8,6,9,3,2,7,7,6,9,10,7
